Accuracy,Precision,Recall,F1-Score,ROC-AUC,Model,Configuration,Model_Type
0.9466666666666667,0.9482352941176472,0.9466666666666667,0.9471960989202368,0.9881016949152541,GradientBoostingClassifier,PowerTransformer + SMOTE,Base
0.9466666666666667,0.9509311740890689,0.9466666666666667,0.9463995621237001,0.9957514124293785,SVC,MI + SMOTE+Tomek,Base
0.9333333333333333,0.941948717948718,0.9333333333333333,0.9340814568721544,0.9788162323066641,SVC,Boruta + SMOTE+Tomek,Base
0.9333333333333333,0.9340555555555556,0.9333333333333333,0.9333333333333333,0.9768079096045199,ExtraTreesClassifier,Boruta + SMOTE+Tomek,Base
0.9333333333333333,0.9340555555555556,0.9333333333333333,0.9333333333333333,0.9829566854990585,XGBClassifier,Boruta + SMOTE+Tomek,Base
0.9333333333333333,0.9362614379084967,0.9333333333333333,0.9338481028303053,0.9890169491525425,LGBMClassifier,Boruta + SMOTE+Tomek,Base
0.9333333333333333,0.9403174603174602,0.9333333333333333,0.9345092302333683,0.9665553125569528,ExtraTreesClassifier,PowerTransformer + SMOTE,Base
0.9333333333333333,0.9403174603174602,0.9333333333333333,0.9345092302333683,0.9921581920903956,VotingClassifier,PowerTransformer + SMOTE,Ensemble
0.9333333333333333,0.9336878306878307,0.9333333333333333,0.9324254359470016,0.986162809063848,XGBClassifier,PowerTransformer + SMOTE,Base
0.9333333333333333,0.9340555555555556,0.9333333333333333,0.9333333333333333,0.987894538606403,XGBClassifier,MI,Base
0.9333333333333333,0.9340555555555556,0.9333333333333333,0.9333333333333333,0.9905988700564973,VotingClassifier,Boruta + SMOTE+Tomek,Ensemble
0.9333333333333333,0.9340555555555556,0.9333333333333333,0.9333333333333333,0.9894802259887004,GradientBoostingClassifier,MI + SMOTE+Tomek,Base
0.9333333333333333,0.9413333333333332,0.9333333333333333,0.9354083975539339,0.981093129214507,SVC,LDA,Base
0.9333333333333333,0.9413333333333332,0.9333333333333333,0.9354083975539339,0.9774576271186439,MLPClassifier,LDA,Base
0.9333333333333333,0.9403174603174602,0.9333333333333333,0.9345092302333683,0.9867645951035781,LGBMClassifier,PowerTransformer + SMOTE,Base
0.92,0.9225,0.92,0.9209986404647139,0.982824858757062,StackingClassifier,Boruta + SMOTE+Tomek,Ensemble
0.92,0.9262745098039216,0.92,0.9221899224806203,0.9741148775894538,AdaBoostClassifier,MI + SMOTE+Tomek,Base
0.92,0.9225,0.92,0.9209986404647139,0.9384321122653546,DecisionTreeClassifier,MI + SMOTE+Tomek,Base
0.92,0.9244967320261439,0.92,0.9213481028303052,0.970078245550088,MLPClassifier,PowerTransformer + SMOTE,Base
0.92,0.9244967320261439,0.92,0.9213481028303052,0.9385846546382358,DecisionTreeClassifier,Boruta + SMOTE+Tomek,Base
0.9066666666666666,0.9123529411764705,0.9066666666666666,0.9088720665014739,0.9950696798493408,SVC,MI,Base
0.9066666666666666,0.9065,0.9066666666666666,0.906236559139785,0.9820314683190571,AdaBoostClassifier,Boruta + SMOTE+Tomek,Base
0.8933333333333333,0.9073684210526316,0.8933333333333333,0.8967693744164332,0.9193338193305389,DecisionTreeClassifier,PowerTransformer + SMOTE,Base
